Num,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Kevon Looney,C,6-9,222,February 6 1996,us,6,UCLA
3,Jordan Poole,SG,6-4,194,June 19 1999,us,2,Michigan
22,Andrew Wiggins,SF,6-7,197,February 23 1995,ca,7,Kansas
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,2,Marquette
0,Gary Payton II,PG,6-3,190,December 1 1992,us,5,Oregon State
8,Nemanja Bjelica,C,6-10,234,May 9 1988,rs,6,N/A
14,Jonathan Kuminga,SF,6-8,210,October 6 2002,cd,R,N/A
30,Stephen Curry,PG,6-2,185,March 14 1988,us,12,Davidson
32,Otto Porter Jr.,PF,6-8,198,June 3 1993,us,8,Georgetown
4,Moses Moody,SG,6-6,205,May 31 2002,us,R,Arkansas
23,Draymond Green,PF,6-6,230,March 4 1990,us,9,Michigan State
11,Klay Thompson,SG,6-6,215,February 8 1990,us,8,Washington State
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,17,Arizona

